Handle,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price
lisa-frank-x-kitsch-satin-pillowcase-in-angel-kitty,Title,Default Title,,,,,503448,22,
lisa-frank-x-kitsch-satin-pillowcase-in-angel-kitty-king,Title,Default Title,,,,,503455,28,
lisa-frank-x-kitsch-satin-pillowcase-in-markie,Title,Default Title,,,,,503424,22,
lisa-frank-x-kitsch-satin-pillowcase-in-markie-king,Title,Default Title,,,,,503431,28,
lisa-frank-x-kitsch-satin-pillowcase-in-rainbow-leopard,Title,Default Title,,,,,503400,26,
lisa-frank-x-kitsch-satin-pillowcase-in-the-fantastic-world-of-lisa-frank,Title,Default Title,,,,,503387,22,
lisa-frank-x-kitsch-satin-pillowcase-in-the-fantastic-world-of-lisa-frank-king,Title,Default Title,,,,,503394,28,
lisa-frank-x-kitsch-xl-creaseless-clips-in-rainbow-leopard,Title,Default Title,,,,,504353,11,
luxe-shower-cap-black-and-white-stripe,Title,Default Title,,,,,0835NCOS,29,
luxe-shower-cap-leopard,Title,Default Title,,,,,4914No ColorOS,29,
magnetic-bobby-pin-holder,Title,Default Title,,,,,9395No ColorOS,12,
medium-claw-clips-2pc,Title,Default Title,,,,,6523NCOS,10,
medium-moisturizing-heel-socks-terracotta-checker,Title,Default Title,,,,,515625,9.99,
metal-clam-shell-french-hair-pin-gold,Title,Default Title,,,,,509303,16,
metal-clam-shell-hair-clip-2pc-set-gold-pearlized-cream,Title,Default Title,,,,,509297,14,
metal-enamel-keychain-cloud-clip-haze-blue,Title,Default Title,,,,,508832,9.99,
metal-enamel-keychain-terracotta-scrunchie,Title,Default Title,,,,,508818,9.99,
metal-enamel-keychain-warm-sugar,Title,Default Title,,,,,508825,9.99,
metal-enamel-puffy-bow-bobby-pins-8pc-set-rosewood,Title,Default Title,,,,,64259No ColorOS,10,
metal-gift-bow-bobby-pins-4pc-set-red-gold,Title,Default Title,,,,,511887,10,
metal-medium-open-shape-cloud-claw-clip-1pc-hematite,Title,Default Title,,,,,66956No ColorOS,9,
metal-open-shape-cloud-claw-clip-1pc-gold,Title,Default Title,,,,,65942No ColorOS,9,
metal-rhinestone-assorted-bobby-pins-4pcs-gold,Title,Default Title,,,,,63016No ColorOS,12,
metal-rhinestone-drop-bobby-pins-4pcs-gold-and-silver,Title,Default Title,,,,,63009No ColorOS,12,
