handle,product_gid,status,variant_gid,variant_title,sku,live_price,live_compare_at
eucalyptus-velvet-xl-flexi-rods-4pc-set,gid://shopify/Product/8050751471797,ACTIVE,gid://shopify/ProductVariant/44728768430261,Default Title,68844NCOS,20,20
castor-oil-conditioner-bar-bag,gid://shopify/Product/8050764611765,ACTIVE,gid://shopify/ProductVariant/44728805032117,Default Title,501437No ColorOS,5,5
castor-oil-shampoo-bar-bag,gid://shopify/Product/8050774540469,ACTIVE,gid://shopify/ProductVariant/44728821055669,Default Title,501444No ColorOS,5,5
rice-water-protein-conditioner-bar-bag,gid://shopify/Product/8050776375477,ACTIVE,gid://shopify/ProductVariant/44728823283893,Default Title,501451No ColorOS,5,5
rice-water-protein-shampoo-bar-bag,gid://shopify/Product/8050779160757,ACTIVE,gid://shopify/ProductVariant/44728826003637,Default Title,501468No ColorOS,5,5
rosemary-biotin-conditioner-bar-bag,gid://shopify/Product/8050783715509,ACTIVE,gid://shopify/ProductVariant/44728835866805,Default Title,501475No ColorOS,5,5
rosemary-biotin-shampoo-bar-bag,gid://shopify/Product/8050783748277,ACTIVE,gid://shopify/ProductVariant/44728835899573,Default Title,501482No ColorOS,5,5
volumizing-rice-protein-dry-shampoo-with-pump-invisible,gid://shopify/Product/8058108412085,ACTIVE,gid://shopify/ProductVariant/44751341519029,Default Title,500935No ColorOS,15,15
volumizing-rice-protein-dry-shampoo-with-pump-dark-hair,gid://shopify/Product/8058108575925,ACTIVE,gid://shopify/ProductVariant/44751341748405,Default Title,500942No ColorOS,15,15
styling-taming-wand,gid://shopify/Product/8059262566581,ACTIVE,gid://shopify/ProductVariant/44756615856309,Default Title,501383No ColorOS,18,18
tart-cherry-hair-perfume,gid://shopify/Product/8060554215605,ACTIVE,gid://shopify/ProductVariant/44763767537845,Default Title,69162No ColorOS,20,20
cherry-print-satin-shower-cap,gid://shopify/Product/8066607448245,ACTIVE,gid://shopify/ProductVariant/44778589388981,Default Title,69957No ColorOS,29,29
cherry-print-oversized-satin-bonnet,gid://shopify/Product/8066641395893,ACTIVE,gid://shopify/ProductVariant/44778770858165,Default Title,500621No ColorOS,22,22
cherry-blossom-dermaplaners-6pc-set,gid://shopify/Product/8066689958069,ACTIVE,gid://shopify/ProductVariant/44778969694389,Default Title,501420No ColorOS,15,15
cherry-print-creaseless-clips-4pc-set,gid://shopify/Product/8066699559093,ACTIVE,gid://shopify/ProductVariant/44779030053045,Default Title,500577No ColorOS,12,12
cherry-rhinestone-claw-clips-2pc-set-mini,gid://shopify/Product/8068469358773,ACTIVE,gid://shopify/ProductVariant/44782514307253,Default Title,500584No ColorOS,12,12
cherry-blossom-cloud-claw-clips-8pc-set-mini,gid://shopify/Product/8068490625205,DRAFT,gid://shopify/ProductVariant/44782544715957,Default Title,500393No ColorOS,10,10
recycled-plastic-medium-cloud-clip-cherry,gid://shopify/Product/8068494229685,ACTIVE,gid://shopify/ProductVariant/44782564442293,Default Title,500416No ColorOS,8,8
cherry-flat-cloud-clip-medium,gid://shopify/Product/8068495540405,ACTIVE,gid://shopify/ProductVariant/44782584660149,Default Title,500447No ColorOS,9,9
cherry-blossom-ruched-satin-scrunchies-5pc-set,gid://shopify/Product/8068505501877,ACTIVE,gid://shopify/ProductVariant/44782639546549,Default Title,500423No ColorOS,12,12
cherry-print-xl-hair-towel-wrap,gid://shopify/Product/8068506058933,ACTIVE,gid://shopify/ProductVariant/44782643445941,Default Title,69964No ColorOS,38,38
cleansing-tart-cherry-body-wash,gid://shopify/Product/8071393050805,ACTIVE,gid://shopify/ProductVariant/44790287597749,Default Title,69179No ColorOS,12,12
gold-metal-cloud-cuff-large,gid://shopify/Product/8108768264373,ACTIVE,gid://shopify/ProductVariant/44851294437557,Default Title,69377No ColorOS,10,10
gold-metal-cloud-cuff-small,gid://shopify/Product/8108769018037,ACTIVE,gid://shopify/ProductVariant/44851299582133,Default Title,68943No ColorOS,8,8
